STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,"Công nghệ kỹ thuật điện, điện tử 7510301",17.0,A00,,
2.0,Giáo dục Mầm non 7140201,22.25,M05,,
3.0,Giáo dục Mầm non 51140201,20.5,M05,,
4.0,Giáo dục Tiểu học 7140202,24.25,A00,,
5.0,Kế toán 7340301,19.75,A00,,
6.0,Kỹ thuật cơ khí 7520103,17.0,A00,,
7.0,Ngôn ngữ Anh 7220201,22.75,A01,,
8.0,Quản trị Kinh doanh 7340101,18.5,A00,,
9.0,Sư phạm Tiếng Anh 7140231,24.75,A01,,
10.0,Sư phạm Toán học 7140209,25.25,A00,,
11.0,Sư phạm Ngữ văn 7140217,25.5,C00,,
