STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Cao đẳng ngành QSCS 7860222,15.25,,,Quân khu 7
2.0,Cao đẳng ngành QSCS 7860222,11.0,,,
3.0,Cao đẳng ngành QSCS 7860222,12.0,,,Quân khu 5
4.0,Cao đẳng ngành QSCS 7860222,10.5,,,Quân khu 9
5.0,Chỉ huy tham mưu (Nam - Quân khu 7) 7860201|27A00,24.35,,,"Thí sinh mức 24,35 điểm: Điểm môn toán >=8.6"
6.0,Chỉ huy tham mưu (Nam - Quân khu 9) 7860201|29A01,24.8,,,"Thí sinh mức 24,80 điểm: Tiêu chí phụ 1: điểm môn toán >=8,8. Tiêu chí phụ 2: Điểm môn lý >=7,75. Tiêu chí phụ 3: điểm môn hóa >=8"
7.0,Chỉ huy tham mưu (Nam - Quân khu 4) 7860201|24A01,25.55,,,
8.0,Chỉ huy tham mưu (Nam - Quân khu 9) 7860201|29A00,24.8,,,"Thí sinh mức 24,80 điểm: Tiêu chí phụ 1: điểm môn toán >=8,8. Tiêu chí phụ 2: Điểm môn lý >=7,75. Tiêu chí phụ 3: điểm môn hóa >=8"
9.0,Chỉ huy tham mưu (Nam - Quân khu 5) 7860201|25A00,24.05,,,
10.0,Chỉ huy tham mưu (Nam - Quân khu 7) 7860201|27A01,24.35,,,"Thí sinh mức 24,35 điểm: Điểm môn toán >=8.6"
11.0,Chỉ huy tham mưu (Nam - Quân khu 4) 7860201|24A00,25.55,,,
12.0,Chỉ huy tham mưu (Nam - Quân khu 5) 7860201|25A01,24.05,,,
