STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Bảo vệ thực vật 7620112,15.0,"A00, B00, C15, D01",,
2.0,Chăn nuôi 7620105,15.0,"A00, B00, C15, D01",,
3.0,Công nghệ chế biến lâm sản 7549001,15.0,"A00, A01, C15, D01",,
4.0,Hệ thống thông tin 7480104,16.0,"A00, A01, C15, D01",,
5.0,Kế toán 7340301,16.0,"A00, C00, C15, D01",,
6.0,Khoa học cây trồng 7620110,15.0,"A00, B00, C15, D01",,
7.0,Lâm sinh 7620205,15.0,"A00, B00, C15, D01",,
8.0,Logistics và Quản lý chuỗi cung ứng 7510605,16.0,"A00, C00, C15, D01",,
9.0,Quản trị Kinh doanh 7340101,16.0,"A00, C00, C15, D01",,
10.0,Quản lý tài nguyên rừng 7620211,16.0,"A00, C00, C15, D01",,
11.0,Quản lý đất đai 7850103,16.0,"A00, C00, C15, D01",,
12.0,Quản lý tài nguyên và môi trường 7850101,16.0,"A00, C00, C15, D01",,
13.0,Quản trị dịch vụ du lịch và lữ hành 7810103,16.0,"A00, C00, C15, D01",,
14.0,Tài chính – Ngân hàng 7340201,16.0,"A00, C00, C15, D01",,
15.0,Thiết kế nội thất 7580108,16.0,"A00, A01, C15, D01",,
16.0,Thú y 7640101,18.0,"A00, B00, C15, D01",,
