STT,"Tên, mã ngành",Điểm chuẩn,Tổ hợp môn,Học phí (VNĐ),Ghi chú
1.0,Công tác xã hội 7760101,15.0,,,
2.0,ĐH Nuôi trồng thủy sản 7620301,15.0,,,
3.0,Du lịch 7310630,15.0,,,
4.0,Giáo dục Mầm non 7140201,18.5,,,Môn chính Năng khiếu GDMN
5.0,Giáo dục Chính trị 7140205,18.5,,,
6.0,Giáo dục Mầm non 51140201,16.5,,,
7.0,Giáo dục Thể chất 7140206,17.5,,,
8.0,Giáo dục Tiểu học 7140202,20.0,,,
9.0,Kế toán 7340301,16.0,,,
10.0,Khoa học máy tính 7480101,15.0,,,
11.0,Khoa học môi trường 7440301,15.0,,,
12.0,Ngôn ngữ Anh 7220201,15.0,,,
13.0,Ngôn ngữ Trung Quốc 7220204,20.5,,,
14.0,Nông học 7620109,15.0,,,
15.0,Quản trị doanh nghiệp 7340101,15.0,,,
16.0,Quản lý đất đai 7850103,15.0,,,
17.0,Quản lý văn hoá 7229042,15.0,,,
18.0,Sư phạm công nghệ 7140246,18.5,,,
19.0,Sư phạm Hóa học 7140212,18.5,,,
20.0,Sư phạm Âm nhạc 7140221,18.5,,,
21.0,Sư phạm Toán học 7140209,18.5,,,
22.0,Sư phạm Ngữ văn 7140217,18.5,,,
23.0,Sư phạm Địa lý 7140219,18.5,,,
24.0,Sư phạm Sinh học 7140213,18.5,,,
25.0,Sư phạm Tiếng Anh 7140231,17.5,,,
26.0,Sư phạm Vật lý 7140211,18.5,,,
27.0,Sư phạm Lịch sử 7140218,18.5,,,
28.0,Sư phạm Mỹ thuật 7140222,17.5,,,
29.0,Sư phạm Tin học (Chuyên ngành Tin học – Công nghệ Tiểu học) 7140210,18.5,,,
30.0,Tài chính – Ngân hàng 7340201,15.0,,,
